Patients;Deaths;Agegroup;PatientsFemales;PatientsMales;PeriodMonths;Periodfrom;Periodto;Periodmean;Mergesplit;Firstauthor;Studyauthor;Studytype;SingleMulticentre;Country;Region;Income;Interval;Pathogen;Streppneumoniae;Neismeningitidis;HaemophInfluenzae;Listeria;Eschcoli;GBS;Staphaureus;Enterobacter;Pseudomonas;Klebsielapneumoniae;Other;Unidentified;Streppneumoniae_A;Neismeningitidis_A;HaemophInfluenzae_A;Listeria_A;Eschcoli_A;GBS_A;Staphaureus_A;Enterobacter_A;Pseudomonas_A;Klebsielapneumoniae_A;Other_A;Unidentified_A;CfrCalc;CfrUci;CfrLci;Mortalityrate;MortalityRateSE
403;133;Children;NA;NA;11.967741935483872;2004-01-01;2004-12-31;2004;No merge and no split;Pelkonen;Pelkonen (2008) [2004–2004];Observational;single centre;Angola;Africa;low;2001–2010;na;93;40;232;NA;NA;NA;NA;NA;NA;NA;19;NA;35;5;76;NA;NA;NA;NA;NA;NA;NA;11;NA;0.33002481389578164;0.38611370393437905;0.27393592385718424;33.002481389578165;0.02861678063193745
270;16;Children;122;149;59.96774193548387;1984-01-01;1988-12-31;1986;No merge and no split;Hanna;Hanna (1991) [1984–1988];Observational;multicentre;Australia;Oceania;high;1981–1990;na;36;24;186;NA;NA;NA;NA;NA;NA;NA;5;19;3;1;10;NA;NA;NA;NA;NA;NA;NA;1;1;0.05925925925925926;0.0882962962962963;0.030222222222222223;5.9259259259259265;0.014814814814814817
109;8;Neonates;NA;NA;199.96774193548387;1993-01-01;2009-08-31;2001;No merge and no split;Ergaz;Ergaz (2013) [1993–2009];Observational;multicentre;Israel;Asia;high;1991–2000;na;NA;NA;NA;NA;11;3;8;NA;NA;NA;87;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.07339449541284404;0.12425428591286727;0.022534704912820804;7.339449541284404;0.025948872704093486
467;18;Neonates and children;NA;NA;35.96666666666667;1988-10-01;1991-09-30;1990;No merge and no split;Dagan;Dagan (1994) [1988–1991];Observational;multicentre;Israel;Asia;high;1981–1990;na;97;105;280;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.03854389721627409;0.05635026926499743;0.020737525167550758;3.854389721627409;0.009084883698328232
525;98;Not specified;238;287;59.96774193548387;1996-01-01;2000-12-31;1998;No merge and no split;Faustini;Faustini (2007) [1996–2000];Observational;multicentre;Italy;Europe;high;1991–2000;na;142;97;72;25;NA;NA;14;NA;NA;NA;54;121;39;13;5;8;NA;NA;4;NA;NA;NA;11;18;0.18666666666666668;0.22362478109668354;0.1497085522366498;18.666666666666668;0.01885618083164126
289;20;Adults;NA;NA;32.96666666666667;2002-10-01;2005-06-30;2004;No merge and no split;Lazzarini;Lazzarini (2008) [2002–2005];Observational;multicentre;Italy;Europe;high;2001–2010;na;133;44;2;2;1;NA;4;NA;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06920415224913495;0.09953420924497985;0.03887409525329005;6.920415224913495;0.015474518875431073
15;5;Adults;NA;NA;11.967741935483872;2004-01-01;2004-12-31;2004;No merge and no split;Kra;Kra (2012) [2004–2004];Observational;single centre;Côte d'Ivoire;Africa;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3333333333333333;0.6255128823933058;0.041153784273360826;33.33333333333333;0.14907119849998599
320;24;Neonates and children;NA;NA;119;1984-01-01;1993-12-01;1988;merge age;Ishikawa;Ishikawa (1996) [1984–1993];Observational;multicentre;Japan;Asia;high;1981–1990;na;56;5;95;7;27;41;5;0;0;0;31;54;6;0;3;1;2;5;0;0;0;0;5;2;0.075;0.10500624934909393;0.04499375065090608;7.5;0.01530931089239486
43;9;Neonates;NA;NA;179;1975-01-01;1989-12-01;1982;No merge and no split;Minutillo;Minutillo (1991) [1975–1989];Observational;single centre;Australia;Oceania;high;1981–1990;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.20930232558139536;0.34604651162790695;0.07255813953488373;20.930232558139537;0.06976744186046512
68;37;Children;NA;NA;503.96774193548384;1940-01-01;1981-12-31;1960;merge time;Sakakihara;Sakakihara (1989) [1940–1981];Observational;single centre;Japan;Asia;high;Before 1961;na;4;19;6;0;1;0;0;0;0;0;7;31;0;0;0;0;0;0;0;0;0;0;0;0;0.5441176470588235;0.7194443317556545;0.36879096236199255;54.41176470588235;0.08945239015144438
