Patients;Deaths;Agegroup;PatientsFemales;PatientsMales;PeriodMonths;Periodfrom;Periodto;Periodmean;Mergesplit;Firstauthor;Studyauthor;Studytype;SingleMulticentre;Country;Region;Income;Interval;Pathogen;Streppneumoniae;Neismeningitidis;HaemophInfluenzae;Listeria;Eschcoli;GBS;Staphaureus;Enterobacter;Pseudomonas;Klebsielapneumoniae;Other;Unidentified;Streppneumoniae_A;Neismeningitidis_A;HaemophInfluenzae_A;Listeria_A;Eschcoli_A;GBS_A;Staphaureus_A;Enterobacter_A;Pseudomonas_A;Klebsielapneumoniae_A;Other_A;Unidentified_A;CfrCalc;CfrUci;CfrLci;Mortalityrate;MortalityRateSE
59;16;Adults;NA;NA;23.967741935483872;2006-01-01;2007-12-31;2006;No merge and no split;Abdulrab;Abdulrab (2010) [2006–2007];Observational;single centre;Yemen;Asia;low;2001–2010;na;28;20;6;NA;NA;NA;NA;NA;NA;NA;5;NA;10;4;1;NA;NA;NA;NA;NA;NA;NA;1;NA;0.2711864406779661;0.4040677966101695;0.13830508474576272;27.11864406779661;0.06779661016949154
1632;62;Neonates and children;709;923;95.96774193548387;2008-01-01;2015-12-31;2011;No merge and no split;Adil;Adil (2021) [2008–2015];Observational;multicentre;United States;N-America;high;2001–2010;na;536;56;58;NA;NA;NA;NA;NA;NA;NA;488;494;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.03799019607843137;0.0474467251428083;0.028533667014054444;3.799019607843137;0.004824759726722923
1101;239;Children and adults;446;655;73.96774193548387;1998-06-01;2004-07-31;2001;No merge and no split;Afifi;Afifi (2007) [1998–2004];Observational;multicentre;Egypt;Africa;low;1991–2000;na;560;203;287;NA;NA;NA;NA;NA;NA;NA;51;NA;134;29;72;NA;NA;NA;NA;NA;NA;NA;4;NA;0.21707538601271573;0.2445966073334523;0.1895541646919791;21.707538601271573;0.014041439449355403
87;35;Adults;NA;NA;263.96774193548384;1954-01-01;1975-12-31;1964;No merge and no split;Agranat;Agranat (1977) [1954–1975];Observational;single centre;Israel;Asia;high;1961–1970;na;44;19;NA;3;4;NA;NA;NA;NA;NA;17;NA;20;0;NA;2;4;NA;NA;NA;NA;NA;9;NA;0.40229885057471265;0.5355806479870718;0.26901705316235347;40.229885057471265;0.06800091704712204
56;16;Children;25;31;18;1989-04-15;1990-10-15;1990;No merge and no split;Ahmed;Ahmed (1996) [1989–1990];Observational;single centre;Sudan;Africa;low;1981–1990;na;13;21;21;NA;NA;NA;NA;NA;NA;NA;1;NA;4;4;7;NA;NA;NA;NA;NA;NA;NA;0;NA;0.2857142857142857;0.4257142857142857;0.1457142857142857;28.57142857142857;0.07142857142857144
68;6;Children and adults;8;60;23.966666666666665;1998-05-01;2000-04-30;1999;No merge and no split;Ahsan;Ahsan (2002) [1998–2000];Observational;single centre;Pakistan;Asia;low;1991–2000;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.08823529411764706;0.15883823376257394;0.01763235447272017;8.823529411764707;0.036021907982105555
28;3;Adults;13;15;59;2013-01-01;2017-12-01;2015;No merge and no split;Aimbudlop;Aimbudlop (2021) [2013–2017];Observational;single centre;Thailand;Asia;high;After 2010;na;2;NA;NA;4;NA;8;NA;NA;NA;NA;6;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.10714285714285714;0.22838641367267856;-0.014100699386964264;10.714285714285714;0.06185895741317419
36;12;Neonates;13;23;24;1988-01-01;1990-01-01;1988;No merge and no split;Airede;Airede (1993) [1988–1990];Observational;single centre;Nigeria;Africa;low;1981–1990;na;3;NA;NA;NA;3;NA;11;NA;1;4;4;10;2;NA;NA;NA;0;NA;5;NA;1;2;2;NA;0.3333333333333333;0.5219344212686111;0.14473224539805557;33.33333333333333;0.09622504486493764
50;17;Neonates;NA;NA;47.96774193548387;1992-01-01;1995-12-31;1993;No merge and no split;Airede;Airede (2008) [1992–1995];Observational;single centre;Nigeria;Africa;low;1991–2000;na;4;2;1;NA;11;NA;13;NA;1;NA;18;NA;1;1;1;NA;4;NA;5;NA;0;5;NA;NA;0.34;0.5016257405242123;0.17837425947578772;34;0.0824621125123532
116;64;Adults;NA;NA;23.419354838709676;2006-09-10;2008-08-23;2007;No merge and no split;Ajdukiewicz;Ajdukiewicz (2011) [2006–2008];Interventional;single centre;Malawi;Africa;low;2001–2010;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5517241379310345;0.686896551724138;0.416551724137931;55.172413793103445;0.06896551724137934
160;16;Children;64;96;25.966666666666665;1999-05-01;2001-06-30;2000;No merge and no split;Al Khoransani;Al Khoransani (2006) [1999–2001];Observational;single centre;Yemen;Asia;low;1991–2000;na;46;81;23;NA;1;NA;2;NA;NA;NA;NA;7;10;3;2;NA;0;NA;1;NA;NA;NA;NA;0;0.1;0.149;0.051000000000000004;10;0.024999999999999998
71;5;Children;23;48;98.96774193548387;1982-06-01;1990-08-31;1986;No merge and no split;Al-Jurayyan;Al-Jurayyan (1992) [1982–1990];Observational;single centre;Saudi Arabia;Asia;high;1981–1990;na;19;2;26;NA;NA;NA;NA;NA;NA;NA;8;16;1;0;1;NA;NA;NA;NA;NA;NA;NA;2;1;0.07042253521126761;0.1321506089563322;0.008694461466202992;7.042253521126761;0.03149391517605337
208;5;Neonates and children;91;117;23;1999-06-01;2001-05-01;2000;No merge and no split;Al-Mazrou;Al-Mazrou (2003) [1999–2001];Observational;multicentre;Saudi Arabia;Asia;high;1991–2000;na;21;37;56;NA;NA;NA;NA;NA;NA;NA;22;67;2;0;2;NA;NA;NA;NA;NA;NA;NA;1;0;0.02403846153846154;0.045109102095671094;0.002967820981251983;2.4630541871921183;0.010750326814902834
14;2;Neonates;NA;NA;131.96774193548387;1997-01-01;2007-12-31;2002;No merge and no split;Aletayeb;Aletayeb (2010) [1997–2007];Observational;single centre;Iran;Asia;high;2001–2010;na;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.14285714285714285;0.3408470415893761;-0.05513275587509044;14.285714285714285;0.10101525445522105
50;7;Neonates;20;34;35.96774193548387;1988-01-01;1990-12-31;1989;No merge and no split;Ali;Ali (1995) [1988–1990];Observational;single centre;Trinidad and Tobago;S-America;high;1981–1990;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.14;0.243713451393732;0.036286548606268045;14.000000000000002;0.05291502622129182
210;39;Adults;NA;NA;119.96774193548387;1985-01-01;1994-12-31;1989;No merge and no split;Almirante;Almirante (1995) [1985–1994];Observational;single centre;Spain;Europe;high;1981–1990;na;70;85;10;17;NA;NA;NA;NA;NA;NA;12;16;16;6;1;8;NA;NA;NA;NA;NA;NA;5;2;0.18571428571428572;0.24400093369933745;0.12742763772923402;18.571428571428573;0.02973808570665904
80;6;Children;28;52;24;2011-09-01;2013-09-01;2012;No merge and no split;Amare;Amare (2018) [2011–2013];Observational;single centre;Ethiopia;Africa;low;After 2010;na;14;NA;4;NA;NA;NA;NA;NA;NA;NA;2;60;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.075;0.13501249869818785;0.014987501301812145;7.5;0.03061862178478972
151;20;Children;NA;NA;59;1998-09-01;2003-08-01;2001;No merge and no split;Amsalu;Amsalu (2005) [1998–2003];Observational;single centre;Ethiopia;Africa;low;1991–2000;na;9;35;7;NA;NA;NA;2;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13245033112582782;0.19049924815761043;0.0744014140940452;13.245033112582782;0.029616794403970723
340;35;Not specified;NA;NA;47.96774193548387;1985-01-01;1988-12-31;1987;No merge and no split;Ara;Ara (1994) [1985–1988];Observational;multicentre;Spain;Europe;high;1981–1990;na;30;103;20;NA;NA;NA;NA;NA;NA;NA;51;NA;6;6;0;NA;NA;NA;NA;NA;NA;NA;7;NA;0.10294117647058823;0.1370456363966919;0.06883671654448457;10.294117647058822;0.017400234656175337
97;18;Children;22;75;11.966666666666667;1995-10-01;1996-09-30;1996;No merge and no split;Awasthi;Awasthi (1997) [1995–1996];Observational;single centre;India;Asia;low;1991–2000;na;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.18556701030927836;0.2712945953273587;0.09983942529119796;18.556701030927837;0.04373856378473489
206;79;Neonates and children;NA;NA;35.96774193548387;2006-01-01;2008-12-31;2007;No merge and no split;Ba;Ba (2010) [2006–2008];Observational;multicentre;Senegal;Africa;low;2001–2010;na;101;13;42;NA;NA;NA;NA;NA;NA;NA;50;NA;49;1;15;NA;NA;NA;NA;NA;NA;NA;14;NA;0.38349514563106796;0.46806243232009004;0.2989278589420458;38.349514563106794;0.04314657484133781
50;17;Not specified;NA;NA;227;1964-01-01;1982-12-01;1973;split time;Ballantyne;Ballantyne (1993) [1964–1982];Observational;single centre;United Kingdom;Europe;high;1971–1980;na;13;2;7;0;1;NA;3;NA;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.34;0.5016257405242123;0.17837425947578772;34;0.0824621125123532
